	index	score	token	sentence	model	dimension	pos_tag	rsv	word
0	0	0.050657790154218674	117	0	15	españoles	AQ	10	»
1	1	0.028162386268377304	10035	0	15	españoles	AQ	9	populares
2	2	0.020923977717757225	21020	0	15	españoles	AQ	8	católicos
3	3	0.017921872437000275	6535	0	15	españoles	AQ	7	sociales
4	4	0.0171128511428833	10190	0	15	españoles	AQ	6	oficiales
5	5	0.011290660127997398	19504	0	15	españoles	AQ	5	cristianos
6	6	0.009665396995842457	12921	0	15	españoles	AQ	4	naturales
7	7	0.009509062394499779	17010	0	15	españoles	AQ	3	tradicionales
8	8	0.009423076175153255	9586	0	15	españoles	NC	2	españoles
9	9	0.009390484541654587	74	0	15	españoles	AQ	1	]
0	0	0.04686117544770241	10035	1	15	españoles	AQ	10	populares
1	1	0.02384965494275093	21020	1	15	españoles	AQ	9	católicos
2	2	0.019941257312893867	6535	1	15	españoles	AQ	8	sociales
3	3	0.019626593217253685	9586	1	15	españoles	AQ	7	españoles
4	4	0.019389281049370766	117	1	15	españoles	AQ	6	»
5	5	0.011652371846139431	10190	1	15	españoles	AQ	5	oficiales
6	6	0.011382336728274822	546	1	15	españoles	RG	4	más
7	7	0.011080757714807987	17010	1	15	españoles	AQ	3	tradicionales
8	8	0.010703438892960548	10235	1	15	españoles	AQ	2	blancos
9	9	0.009491578675806522	15797	1	15	españoles	AQ	1	conocidos
0	0	0.11113223433494568	10418	2	15	españoles	PI	10	pocos
1	1	0.0734771117568016	3253	2	15	españoles	DI	9	unos
2	2	0.04849787801504135	1654	2	15	españoles	PI	8	otros
3	3	0.048496492207050323	9586	2	15	españoles	AQ	7	españoles
4	4	0.0471937358379364	14443	2	15	españoles	PI	6	mismos
5	5	0.024919303134083748	5533	2	15	españoles	NC	5	hombres
6	6	0.02350943349301815	7953	2	15	españoles	NC	4	amigos
7	7	0.015875712037086487	117	2	15	españoles	NC	3	»
8	8	0.015238530933856964	546	2	15	españoles	RG	2	más
9	9	0.014738144353032112	3326	2	15	españoles	PP	1	ellos
0	0	0.03754938021302223	21407	3	15	españoles	AQ	10	rurales
1	1	0.02961273118853569	21020	3	15	españoles	AQ	9	católicos
2	2	0.02609178051352501	17719	3	15	españoles	AQ	8	pobres
3	3	0.01874990016222	24702	3	15	españoles	NC	7	inmigrantes
4	4	0.018398381769657135	20720	3	15	españoles	AQ	6	residentes
5	5	0.018396329134702682	10235	3	15	españoles	AQ	5	blancos
6	6	0.01813865453004837	15014	3	15	españoles	AQ	4	hispanos
7	7	0.017718102782964706	6535	3	15	españoles	AQ	3	sociales
8	8	0.014349103905260563	20831	3	15	españoles	AQ	2	musulmanes
9	9	0.014115194790065289	19504	3	15	españoles	AQ	1	cristianos
0	0	0.19414906203746796	16947	4	15	españoles	NC	10	ciudadanos
1	1	0.10257618129253387	21020	4	15	españoles	AQ	9	católicos
2	2	0.04345822334289551	15014	4	15	españoles	AQ	8	hispanos
3	3	0.0433637872338295	12921	4	15	españoles	AQ	7	naturales
4	4	0.042083971202373505	12847	4	15	españoles	AQ	6	libres
5	5	0.03211015835404396	10235	4	15	españoles	AQ	5	blancos
6	6	0.026903601363301277	20831	4	15	españoles	AQ	4	musulmanes
7	7	0.026074472814798355	6535	4	15	españoles	AQ	3	sociales
8	8	0.021653203293681145	20720	4	15	españoles	AQ	2	residentes
9	9	0.013309347443282604	15119	4	15	españoles	AQ	1	religiosos
0	0	0.05391024425625801	18568	5	15	españoles	AQ	10	italianos
1	1	0.04244465380907059	21020	5	15	españoles	AQ	9	católicos
2	2	0.03498397767543793	21407	5	15	españoles	AQ	8	rurales
3	3	0.03428155928850174	17719	5	15	españoles	AQ	7	pobres
4	4	0.02716224454343319	24659	5	15	españoles	AQ	6	ricos
5	5	0.02080489508807659	10235	5	15	españoles	AQ	5	blancos
6	6	0.01981959491968155	11028	5	15	españoles	AQ	4	pequeños
7	7	0.017908107489347458	10035	5	15	españoles	AQ	3	populares
8	8	0.014512499794363976	2877	5	15	españoles	RG	2	principalmente
9	9	0.013472548685967922	19504	5	15	españoles	AQ	1	cristianos
0	0	0.2012237012386322	21020	6	15	españoles	AQ	10	católicos
1	1	0.08204259723424911	15014	6	15	españoles	AQ	9	hispanos
2	2	0.03657311573624611	15119	6	15	españoles	AQ	8	religiosos
3	3	0.035820331424474716	16947	6	15	españoles	NC	7	ciudadanos
4	4	0.021107790991663933	10190	6	15	españoles	AQ	6	oficiales
5	5	0.020854277536273003	6535	6	15	españoles	AQ	5	sociales
6	6	0.017431216314435005	9586	6	15	españoles	NC	4	españoles
7	7	0.016875075176358223	12921	6	15	españoles	AQ	3	naturales
8	8	0.014493398368358612	19504	6	15	españoles	AQ	2	cristianos
9	9	0.013815855607390404	117	6	15	españoles	AQ	1	»
0	0	0.14760668575763702	11653	7	15	españoles	AQ	10	jóvenes
1	1	0.10498162358999252	10035	7	15	españoles	AQ	9	populares
2	2	0.07775595784187317	15797	7	15	españoles	AQ	8	conocidos
3	3	0.035062167793512344	22830	7	15	españoles	AQ	7	destacados
4	4	0.023890353739261627	3179	7	15	españoles	AQ	6	importantes
5	5	0.020208187401294708	17010	7	15	españoles	AQ	5	tradicionales
6	6	0.019221169874072075	16335	7	15	españoles	AQ	4	fuertes
7	7	0.017792364582419395	12310	7	15	españoles	AQ	3	antiguos
8	8	0.016434358432888985	1937	7	15	españoles	AQ	2	grandes
9	9	0.014690052717924118	11028	7	15	españoles	AQ	1	pequeños
0	0	0.1336374580860138	24702	8	15	españoles	NC	10	inmigrantes
1	1	0.05801169574260712	3179	8	15	españoles	AQ	9	importantes
2	2	0.052664972841739655	24659	8	15	españoles	AQ	8	ricos
3	3	0.049454350024461746	11028	8	15	españoles	AQ	7	pequeños
4	4	0.04468441754579544	17719	8	15	españoles	AQ	6	pobres
5	5	0.03715032339096069	24069	8	15	españoles	AQ	5	poblado
6	6	0.029510609805583954	9352	8	15	españoles	AQ	4	numerosos
7	7	0.028435127809643745	1477	8	15	españoles	NC	3	habitantes
8	8	0.020800726488232613	1937	8	15	españoles	AQ	2	grandes
9	9	0.0203501395881176	19045	8	15	españoles	AQ	1	económicos
0	0	0.0665610134601593	15014	9	15	españoles	AQ	10	hispanos
1	1	0.060851555317640305	17719	9	15	españoles	AQ	9	pobres
2	2	0.04028952494263649	11028	9	15	españoles	AQ	8	pequeños
3	3	0.03528750315308571	21020	9	15	españoles	AQ	7	católicos
4	4	0.028606902807950974	24659	9	15	españoles	AQ	6	ricos
5	5	0.027921900153160095	10035	9	15	españoles	AQ	5	populares
6	6	0.02599310874938965	19045	9	15	españoles	AQ	4	económicos
7	7	0.023039359599351883	15797	9	15	españoles	AQ	3	conocidos
8	8	0.022795625030994415	11653	9	15	españoles	AQ	2	jóvenes
9	9	0.02046346850693226	16947	9	15	españoles	NC	1	ciudadanos
0	0	0.209694042801857	3179	10	15	españoles	AQ	10	importantes
1	1	0.07397625595331192	22830	10	15	españoles	AQ	9	destacados
2	2	0.05113786831498146	1937	10	15	españoles	AQ	8	grandes
3	3	0.04204677790403366	11028	10	15	españoles	AQ	7	pequeños
4	4	0.03766188398003578	9352	10	15	españoles	AQ	6	numerosos
5	5	0.03142743557691574	19045	10	15	españoles	AQ	5	económicos
6	6	0.029915256425738335	24659	10	15	españoles	AQ	4	ricos
7	7	0.023680856451392174	10035	10	15	españoles	AQ	3	populares
8	8	0.02324097231030464	17010	10	15	españoles	AQ	2	tradicionales
