	index	score	token	sentence	model	dimension	pos_tag	sentiment	rsv	word
0	0	0.09222056716680527	10230	0	5	negros		NEU	10	negros
1	1	0.05613355338573456	10393	0	5	negros		NEU	9	blancos
2	2	0.021553566679358482	8700	0	5	negros		NEG	8	malos
3	3	0.020423579961061478	3144	0	5	negros		NEU	7	humanos
4	4	0.01905832439661026	26241	0	5	negros		NEG	6	raros
5	5	0.017159519717097282	3988	0	5	negros		POS	5	buenos
6	6	0.014127383939921856	316	0	5	negros		NEU	4	los
7	7	0.010157887823879719	9199	0	5	negros		NEG	3	iguales
8	8	0.010070767253637314	6179	0	5	negros		NEU	2	reales
9	9	0.009411100298166275	13535	0	5	negros		NEG	1	rojos
0	0	0.025958331301808357	1537	1	5	negros		NEU	10	mujeres
1	1	0.017244482412934303	9616	1	5	negros		NEU	9	cristianos
2	2	0.016643382608890533	10230	1	5	negros		NEU	8	negros
3	3	0.01586322858929634	3988	1	5	negros		POS	7	buenos
4	4	0.014688700437545776	2244	1	5	negros		NEU	6	hombres
5	5	0.014660541899502277	316	1	5	negros		NEU	5	los
6	6	0.014046684838831425	6179	1	5	negros		NEU	4	reales
7	7	0.013439343310892582	14202	1	5	negros		POS	3	hermosos
8	8	0.012993116863071918	22664	1	5	negros		NEU	2	jovenes
9	9	0.012782653793692589	1292	1	5	negros		NEU	1	muchos
0	0	0.042438820004463196	18618	2	5	negros		NEG	10	locos
1	1	0.03401078283786774	3497	2	5	negros		NEG	9	pocos
2	2	0.03175269812345505	2274	2	5	negros		NEU	8	amigos
3	3	0.03098199889063835	42100	2	5	negros		POS	7	guapos
4	4	0.027586881071329117	3988	2	5	negros		POS	6	buenos
5	5	0.021328875795006752	34851	2	5	negros		POS	5	afortunados
6	6	0.01597359962761402	8450	2	5	negros		NEG	4	cuantos
7	7	0.012216063216328621	7332	2	5	negros		NEU	3	ejemplos
8	8	0.01201716624200344	37637	2	5	negros		NEU	2	privilegiados
9	9	0.011735430918633938	46359	2	5	negros		NEG	1	idiotas
0	0	0.029653556644916534	17178	3	5	negros		NEU	10	musulmanes
1	1	0.021774476394057274	9616	3	5	negros		NEU	9	cristianos
2	2	0.020041650161147118	7777	3	5	negros		NEG	8	pobres
3	3	0.01999407634139061	22524	3	5	negros		NEU	7	inocentes
4	4	0.01930525153875351	10230	3	5	negros		NEG	6	negros
5	5	0.018592115491628647	7743	3	5	negros		NEU	5	extranjeros
6	6	0.01790006086230278	10091	3	5	negros		NEG	4	inmigrantes
7	7	0.017487458884716034	3144	3	5	negros		NEU	3	humanos
8	8	0.015092523768544197	18346	3	5	negros		NEG	2	esclavos
9	9	0.014344337396323681	1537	3	5	negros		NEU	1	mujeres
0	0	0.02238835208117962	9616	4	5	negros		NEU	10	cristianos
1	1	0.019762683659791946	23651	4	5	negros		NEG	9	corruptos
2	2	0.017486173659563065	7777	4	5	negros		NEG	8	pobres
3	3	0.017284100875258446	3144	4	5	negros		NEU	7	humanos
4	4	0.017269667237997055	22524	4	5	negros		NEU	6	inocentes
5	5	0.015168651938438416	10393	4	5	negros		NEU	5	blancos
6	6	0.01315444428473711	17178	4	5	negros		NEU	4	musulmanes
7	7	0.012314914725720882	10230	4	5	negros		NEU	3	negros
8	8	0.011522678658366203	316	4	5	negros		NEU	2	los
9	9	0.011294940486550331	15793	4	5	negros		NEG	1	falsos
0	0	0.034916285425424576	1292	5	5	negros		NEU	10	muchos
1	1	0.02478446625173092	7743	5	5	negros		NEU	9	extranjeros
2	2	0.016478821635246277	3497	5	5	negros		NEU	8	pocos
3	3	0.01390534546226263	15110	5	5	negros		POS	7	impresionantes
4	4	0.013744077645242214	33511	5	5	negros		POS	6	bienvenidos
5	5	0.012622394599020481	12441	5	5	negros		POS	5	espectaculares
6	6	0.01187054067850113	7268	5	5	negros		NEU	4	numerosos
7	7	0.011858738958835602	23136	5	5	negros		NEU	3	curiosos
8	8	0.011037810705602169	17752	5	5	negros		NEG	2	desconocidos
9	9	0.010807054117321968	316	5	5	negros		NEU	1	los
0	0	0.12548062205314636	10230	6	5	negros		NEG	10	negros
1	1	0.07697825878858566	10393	6	5	negros		NEU	9	blancos
2	2	0.022102434188127518	9199	6	5	negros		NEG	8	iguales
3	3	0.01894819177687168	3144	6	5	negros		NEU	7	humanos
4	4	0.01820831373333931	26241	6	5	negros		NEG	6	raros
5	5	0.016172153875231743	316	6	5	negros		NEG	5	los
6	6	0.016166046261787415	8700	6	5	negros		NEG	4	malos
7	7	0.01565912365913391	3988	6	5	negros		POS	3	buenos
8	8	0.01383170671761036	9616	6	5	negros		NEU	2	cristianos
9	9	0.010815203189849854	2244	6	5	negros		NEU	1	hombres
0	0	0.08928339928388596	5149	7	5	negros		NEU	10	pequeños
1	1	0.03532892465591431	10674	7	5	negros		NEU	9	famosos
2	2	0.032942745834589005	42100	7	5	negros		POS	8	guapos
3	3	0.028742268681526184	15898	7	5	negros		POS	7	poderosos
4	4	0.025105342268943787	6270	7	5	negros		NEU	6	populares
5	5	0.021724417805671692	4090	7	5	negros		NEU	5	jóvenes
6	6	0.021541792899370193	1528	7	5	negros		POS	4	grandes
7	7	0.01926851086318493	5655	7	5	negros		POS	3	fuertes
8	8	0.01918131299316883	2634	7	5	negros		POS	2	importantes
9	9	0.017967835068702698	7777	7	5	negros		NEG	1	pobres
0	0	0.09808535873889923	15367	8	5	negros		NEU	10	vulnerables
1	1	0.08186089992523193	7777	8	5	negros		NEG	9	pobres
2	2	0.05320342630147934	15898	8	5	negros		POS	8	poderosos
3	3	0.046070873737335205	5149	8	5	negros		NEU	7	pequeños
4	4	0.03286798670887947	8187	8	5	negros		POS	6	ricos
5	5	0.024971188977360725	8084	8	5	negros		NEG	5	afectados
6	6	0.023074759170413017	6270	8	5	negros		NEU	4	populares
7	7	0.021297521889209747	16659	8	5	negros		NEG	3	peligrosos
8	8	0.02051585726439953	10674	8	5	negros		NEU	2	famosos
9	9	0.019762767478823662	18533	8	5	negros		NEG	1	caros
0	0	0.08509299904108047	15898	9	5	negros		POS	10	poderosos
1	1	0.0656338632106781	7777	9	5	negros		NEG	9	pobres
2	2	0.061778608709573746	15367	9	5	negros		NEU	8	vulnerables
3	3	0.03675582632422447	8187	9	5	negros		POS	7	ricos
4	4	0.029338248074054718	5149	9	5	negros		NEU	6	pequeños
5	5	0.024179060012102127	5655	9	5	negros		POS	5	fuertes
6	6	0.024007625877857208	24436	9	5	negros		NEG	4	débiles
7	7	0.021798258647322655	6270	9	5	negros		NEU	3	populares
8	8	0.0196179561316967	45736	9	5	negros		NEG	2	desfavorecidos
9	9	0.019205989316105843	2634	9	5	negros		POS	1	importantes
0	0	0.042218148708343506	18533	10	5	negros		NEG	10	caros
1	1	0.03963347524404526	2634	10	5	negros		POS	9	importantes
2	2	0.038464922457933426	10674	10	5	negros		NEU	8	famosos
3	3	0.03758244961500168	5149	10	5	negros		NEU	7	pequeños
4	4	0.026571353897452354	6270	10	5	negros		NEU	6	populares
5	5	0.025721389800310135	43175	10	5	negros		NEU	5	buscados
6	6	0.025406651198863983	15367	10	5	negros		NEU	4	vulnerables
7	7	0.02509160153567791	7777	10	5	negros		NEG	3	pobres
8	8	0.02396308444440365	15898	10	5	negros		POS	2	poderosos
9	9	0.01943267695605755	1528	10	5	negros		POS	1	grandes
0	0	0.08245948702096939	3988	11	5	negros		POS	10	buenos
1	1	0.04506697133183479	26241	11	5	negros		NEG	9	raros
2	2	0.0370853990316391	22299	11	5	negros		NEU	8	parecidos
3	3	0.03614012151956558	5655	11	5	negros		NEU	7	fuertes
4	4	0.033259596675634384	15830	11	5	negros		POS	6	bonitos
5	5	0.02660105563700199	8700	11	5	negros		NEG	5	malos
6	6	0.0232099536806345	51071	11	5	negros		NEG	4	feos
7	7	0.023114241659641266	18533	11	5	negros		NEG	3	caros
8	8	0.02217128686606884	6054	11	5	negros		NEU	2	altos
9	9	0.02021573856472969	10230	11	5	negros		NEG	1	negros
0	0	0.08044051378965378	3497	12	5	negros		NEG	10	pocos
1	1	0.04670700058341026	3988	12	5	negros		POS	9	buenos
2	2	0.029283123090863228	8700	12	5	negros		NEG	8	malos
3	3	0.02572028897702694	18618	12	5	negros		NEG	7	locos
4	4	0.022755661979317665	10230	12	5	negros		NEG	6	negros
5	5	0.021739382296800613	8450	12	5	negros		NEG	5	cuantos
6	6	0.019218869507312775	3144	12	5	negros		NEG	4	humanos
7	7	0.01544372271746397	26241	12	5	negros		NEG	3	raros
8	8	0.013302255421876907	19428	12	5	negros		POS	2	preciosos
9	9	0.011331036686897278	10393	12	5	negros		NEG	1	blancos
0	0	0.19802223145961761	10393	0	5	blancos		NEU	10	blancos
1	1	0.050149861723184586	10230	0	5	blancos		NEU	9	negros
2	2	0.033166199922561646	13535	0	5	blancos		NEG	8	rojos
3	3	0.016391189768910408	9199	0	5	blancos		NEG	7	iguales
4	4	0.01485492568463087	9038	0	5	blancos		NEU	6	verdes
5	5	0.01470400020480156	28304	0	5	blancos		NEU	5	amarillos
6	6	0.0146534638479352	3988	0	5	blancos		POS	4	buenos
7	7	0.012713860720396042	19428	0	5	blancos		POS	3	preciosos
8	8	0.012030493468046188	16885	0	5	blancos		POS	2	perfectos
9	9	0.011958201415836811	13647	0	5	blancos		NEU	1	azules
0	0	0.020549019798636436	3988	1	5	blancos		POS	10	buenos
1	1	0.019035138189792633	12441	1	5	blancos		POS	9	espectaculares
2	2	0.01809072680771351	14202	1	5	blancos		POS	8	hermosos
3	3	0.018021006137132645	1537	1	5	blancos		NEU	7	mujeres
4	4	0.017613088712096214	16885	1	5	blancos		POS	6	perfectos
5	5	0.017291586846113205	33511	1	5	blancos		POS	5	bienvenidos
6	6	0.017030034214258194	20766	1	5	blancos		POS	4	geniales
7	7	0.015679769217967987	10393	1	5	blancos		NEU	3	blancos
8	8	0.014252145774662495	8992	1	5	blancos		POS	2	excelentes
9	9	0.01225375197827816	15110	1	5	blancos		POS	1	impresionantes
0	0	0.03618402034044266	34851	2	5	blancos		POS	10	afortunados
1	1	0.031819019466638565	2274	2	5	blancos		NEU	9	amigos
2	2	0.030567705631256104	18618	2	5	blancos		NEG	8	locos
3	3	0.02981274202466011	3497	2	5	blancos		NEG	7	pocos
4	4	0.028144771233201027	3988	2	5	blancos		POS	6	buenos
5	5	0.02715076506137848	42100	2	5	blancos		POS	5	guapos
6	6	0.013422491028904915	8450	2	5	blancos		NEG	4	cuantos
7	7	0.013201623223721981	37637	2	5	blancos		NEU	3	privilegiados
8	8	0.011779652908444405	20244	2	5	blancos		POS	2	maravillosos
9	9	0.011216985993087292	13891	2	5	blancos		NEU	1	reyes
0	0	0.029799114912748337	17178	3	5	blancos		NEU	10	musulmanes
1	1	0.024712251499295235	10393	3	5	blancos		NEU	9	blancos
2	2	0.021712463349103928	7743	3	5	blancos		NEU	8	extranjeros
3	3	0.019155556336045265	7777	3	5	blancos		NEG	7	pobres
4	4	0.016245950013399124	9616	3	5	blancos		NEU	6	cristianos
5	5	0.014771579764783382	10091	3	5	blancos		NEG	5	inmigrantes
6	6	0.013101729564368725	22524	3	5	blancos		NEU	4	inocentes
7	7	0.012010320089757442	18346	3	5	blancos		NEG	3	esclavos
8	8	0.011678497307002544	3144	3	5	blancos		NEU	2	humanos
9	9	0.01073893066495657	20803	3	5	blancos		NEG	1	asesinados
0	0	0.027594679966568947	10393	4	5	blancos		NEU	10	blancos
1	1	0.019698811694979668	23651	4	5	blancos		NEG	9	corruptos
2	2	0.013991893269121647	9616	4	5	blancos		NEU	8	cristianos
3	3	0.01326079573482275	7777	4	5	blancos		NEG	7	pobres
4	4	0.011414330452680588	316	4	5	blancos		NEU	6	los
5	5	0.011073080822825432	3831	4	5	blancos		NEU	5	ciudadanos
6	6	0.010959031991660595	7743	4	5	blancos		NEU	4	extranjeros
7	7	0.01092537771910429	9540	4	5	blancos		NEU	3	independientes
8	8	0.009420276619493961	3144	4	5	blancos		POS	2	humanos
9	9	0.009081007912755013	17178	4	5	blancos		NEU	1	musulmanes
0	0	0.02472296543419361	1292	5	5	blancos		NEU	10	muchos
1	1	0.024338603019714355	7743	5	5	blancos		NEU	9	extranjeros
2	2	0.022790899500250816	33511	5	5	blancos		POS	8	bienvenidos
3	3	0.01860346645116806	15110	5	5	blancos		POS	7	impresionantes
4	4	0.017133282497525215	8992	5	5	blancos		POS	6	excelentes
5	5	0.01681518368422985	12441	5	5	blancos		POS	5	espectaculares
6	6	0.015577344223856926	3497	5	5	blancos		NEG	4	pocos
7	7	0.013776198029518127	8359	5	5	blancos		NEU	3	turistas
8	8	0.012735252268612385	7268	5	5	blancos		NEU	2	numerosos
9	9	0.012070011347532272	13918	5	5	blancos		NEG	1	escasos
0	0	0.25369784235954285	10393	6	5	blancos		NEU	10	blancos
1	1	0.04321053624153137	10230	6	5	blancos		NEG	9	negros
2	2	0.040661897510290146	9199	6	5	blancos		NEG	8	iguales
3	3	0.029161550104618073	13535	6	5	blancos		NEG	7	rojos
4	4	0.014114211313426495	13647	6	5	blancos		NEU	6	azules
5	5	0.01360548846423626	3988	6	5	blancos		POS	5	buenos
6	6	0.012365535832941532	19428	6	5	blancos		POS	4	preciosos
7	7	0.010824878700077534	16885	6	5	blancos		POS	3	perfectos
8	8	0.010404706001281738	4039	6	5	blancos		NEU	2	naturales
9	9	0.009952308610081673	28304	6	5	blancos		NEU	1	amarillos
0	0	0.06562386453151703	5149	7	5	blancos		NEU	10	pequeños
1	1	0.03121623955667019	10674	7	5	blancos		NEU	9	famosos
2	2	0.02959609404206276	42100	7	5	blancos		POS	8	guapos
3	3	0.0279699694365263	6270	7	5	blancos		NEU	7	populares
4	4	0.020694294944405556	5655	7	5	blancos		POS	6	fuertes
5	5	0.019694803282618523	15898	7	5	blancos		POS	5	poderosos
6	6	0.01965050771832466	2634	7	5	blancos		POS	4	importantes
7	7	0.019046904519200325	15830	7	5	blancos		POS	3	bonitos
8	8	0.017238471657037735	1528	7	5	blancos		POS	2	grandes
9	9	0.016176680102944374	4090	7	5	blancos		NEU	1	jóvenes
