	index	score	token	sentence	model	dimension	pos_tag	sentiment	rsv	word
0	0	0.06673749536275864	8138	0	3	españoles		NEG	10	extranjeros
1	1	0.034725796431303024	10121	0	3	españoles		NEU	9	españoles
2	2	0.021835947409272194	3	0	3	españoles		NEU	8	[unk]
3	3	0.020437853410840034	10279	0	3	españoles		NEU	7	franceses
4	4	0.019266020506620407	14699	0	3	españoles		NEU	6	musulmanes
5	5	0.01926232874393463	19507	0	3	españoles		NEU	5	católicos
6	6	0.018326962366700172	19945	0	3	españoles		NEG	4	escasos
7	7	0.012895316816866398	6088	0	3	españoles		NEG	3	pocos
8	8	0.01051008515059948	8002	0	3	españoles		NEU	2	blancos
9	9	0.009867414832115173	18422	0	3	españoles		NEG	1	minoría
0	0	0.03507186099886894	3166	1	3	españoles		NEU	10	diferentes
1	1	0.025055430829524994	11384	1	3	españoles		NEU	9	populares
2	2	0.0200631245970726	20089	1	3	españoles		NEG	8	raros
3	3	0.019214458763599396	4195	1	3	españoles		NEU	7	jóvenes
4	4	0.017738670110702515	8138	1	3	españoles		NEU	6	extranjeros
5	5	0.015815546736121178	24035	1	3	españoles		POS	5	bienvenidos
6	6	0.01486695371568203	18523	1	3	españoles		POS	4	excelentes
7	7	0.01407191064208746	19945	1	3	españoles		NEG	3	escasos
8	8	0.013726063072681427	10876	1	3	españoles		POS	2	felices
9	9	0.01354148704558611	3	1	3	españoles		NEU	1	[unk]
0	0	0.10939933359622955	14088	2	3	españoles		NEG	10	idiotas
1	1	0.056265633553266525	17159	2	3	españoles		NEG	9	salvajes
2	2	0.054960619658231735	28901	2	3	españoles		NEG	8	perdedores
3	3	0.05141119286417961	25837	2	3	españoles		NEG	7	inútiles
4	4	0.03995782509446144	11063	2	3	españoles		NEG	6	locos
5	5	0.03219587355852127	3	2	3	españoles		NEG	5	[unk]
6	6	0.029255524277687073	17219	2	3	españoles		NEG	4	cerdos
7	7	0.029061095789074898	2330	2	3	españoles		NEG	3	niños
8	8	0.027352571487426758	22688	2	3	españoles		NEG	2	gilipollas
9	9	0.02664010226726532	22327	2	3	españoles		NEG	1	estúpidos
0	0	0.08695150166749954	19945	3	3	españoles		NEG	10	escasos
1	1	0.07539981603622437	3099	3	3	españoles		NEU	9	mayoría
2	2	0.059502191841602325	7679	3	3	españoles		NEU	8	numerosos
3	3	0.056238383054733276	12282	3	3	españoles		NEU	7	frecuentes
4	4	0.04238639771938324	20089	3	3	españoles		NEG	6	raros
5	5	0.036170534789562225	18422	3	3	españoles		NEG	5	minoría
6	6	0.029081445187330246	6088	3	3	españoles		NEG	4	pocos
7	7	0.02801436185836792	7986	3	3	españoles		NEU	3	residentes
8	8	0.026272721588611603	3697	3	3	españoles		POS	2	importantes
9	9	0.026224132627248764	24035	3	3	españoles		POS	1	bienvenidos
0	0	0.28753426671028137	8138	4	3	españoles		NEG	10	extranjeros
1	1	0.047913145273923874	10121	4	3	españoles		NEU	9	españoles
2	2	0.02801043540239334	14699	4	3	españoles		NEU	8	musulmanes
3	3	0.02367353066802025	4629	4	3	españoles		NEU	7	ciudadanos
4	4	0.021933559328317642	3	4	3	españoles		NEU	6	[unk]
5	5	0.01925334520637989	19507	4	3	españoles		NEU	5	católicos
6	6	0.016895685344934464	7986	4	3	españoles		NEU	4	residentes
7	7	0.014555644243955612	10323	4	3	españoles		NEG	3	iguales
8	8	0.013899601064622402	1115	4	3	españoles		NEU	2	2
9	9	0.013148687779903412	10279	4	3	españoles		NEU	1	franceses
0	0	0.33559805154800415	24035	5	3	españoles		POS	10	bienvenidos
1	1	0.08161996304988861	19945	5	3	españoles		NEG	9	escasos
2	2	0.05990958213806152	12282	5	3	españoles		NEU	8	frecuentes
3	3	0.036308903247117996	7679	5	3	españoles		NEU	7	numerosos
4	4	0.022542668506503105	6088	5	3	españoles		NEG	6	pocos
5	5	0.018912574276328087	17498	5	3	españoles		NEU	5	habituales
6	6	0.018084267154335976	20089	5	3	españoles		NEG	4	raros
7	7	0.01736687496304512	19923	5	3	españoles		NEU	3	limitados
8	8	0.01590130664408207	8138	5	3	españoles		NEU	2	extranjeros
9	9	0.013322708196938038	6233	5	3	españoles		NEU	1	comunes
0	0	0.2727609872817993	10121	6	3	españoles		NEU	10	españoles
1	1	0.039754122495651245	8138	6	3	españoles		NEG	9	extranjeros
2	2	0.02832123078405857	10323	6	3	españoles		NEG	8	iguales
3	3	0.020931556820869446	10279	6	3	españoles		NEU	7	franceses
4	4	0.020799051970243454	8002	6	3	españoles		NEG	6	blancos
5	5	0.02056075446307659	19507	6	3	españoles		NEU	5	católicos
6	6	0.020106466487050056	10148	6	3	españoles		NEU	4	judíos
7	7	0.019245190545916557	13052	6	3	españoles		NEG	3	indios
8	8	0.018475469201803207	15695	6	3	españoles		NEG	2	ingleses
9	9	0.01733330264687538	3	6	3	españoles		NEU	1	[unk]
0	0	0.2843940556049347	11384	7	3	españoles		NEU	10	populares
1	1	0.04503798857331276	3697	7	3	españoles		POS	9	importantes
2	2	0.04282760247588158	26583	7	3	españoles		POS	8	atractivos
3	3	0.04240666702389717	8109	7	3	españoles		POS	7	fuertes
4	4	0.03191710636019707	4195	7	3	españoles		NEU	6	jóvenes
5	5	0.0295863077044487	16079	7	3	españoles		POS	5	interesantes
6	6	0.026812229305505753	3037	7	3	españoles		POS	4	grandes
7	7	0.02630276419222355	16556	7	3	españoles		NEU	3	famosos
8	8	0.011000873520970345	5408	7	3	españoles		NEU	2	pequeños
9	9	0.010593571700155735	9998	7	3	españoles		NEG	1	difíciles
0	0	0.14385178685188293	3697	8	3	españoles		POS	10	importantes
1	1	0.10120668262243271	7672	8	3	españoles		NEG	9	afectados
2	2	0.08475907146930695	7679	8	3	españoles		NEU	8	numerosos
3	3	0.06192560866475105	12282	8	3	españoles		NEU	7	frecuentes
4	4	0.043792475014925	6233	8	3	españoles		NEG	6	comunes
5	5	0.038873981684446335	11384	8	3	españoles		NEU	5	populares
6	6	0.027663642540574074	8109	8	3	españoles		NEU	4	fuertes
7	7	0.02729349583387375	17810	8	3	españoles		POS	3	notables
8	8	0.023643944412469864	8973	8	3	españoles		NEU	2	recientes
9	9	0.022224122658371925	3037	8	3	españoles		POS	1	grandes
0	0	0.1399790644645691	7056	9	3	españoles		NEG	10	pobres
