	index	score	token	sentence	model	dimension	pos_tag	rsv	word
0	0	0.13304084539413452	17	0	16	negros	Fp	10	.
1	1	0.08276832103729248	302	0	16	negros	CS	9	que
2	2	0.0650794506072998	294	0	16	negros	CC	8	y
3	3	0.06049875169992447	15	0	16	negros	Fc	7	,
4	4	0.048094380646944046	309	0	16	negros	DA	6	los
5	5	0.045178379863500595	0	0	16	negros	Fz	5	<s>
6	6	0.02872980758547783	29	0	16	negros	Fd	4	:
7	7	0.016462525352835655	30	0	16	negros	AQ	3	;
8	8	0.013657788746058941	261	0	16	negros	SP	2	de
9	9	0.007854876108467579	10121	0	16	negros	AQ	1	blanco
0	0	0.4633921980857849	29	1	16	negros	Fd	10	:
1	1	0.07503847032785416	309	1	16	negros	DA	9	los
2	2	0.051776666194200516	261	1	16	negros	SP	8	de
3	3	0.031385064125061035	323	1	16	negros	DA	7	las
4	4	0.01923741213977337	15	1	16	negros	Fc	6	,
5	5	0.015298725105822086	17	1	16	negros	Fp	5	.
6	6	0.015095159411430359	271	1	16	negros	DA	4	la
7	7	0.013383937999606133	16	1	16	negros	Fg	3	-
8	8	0.013338606804609299	1665	1	16	negros	RG	2	siempre
9	9	0.012986385263502598	291	1	16	negros	DA	1	el
0	0	0.33371853828430176	12689	2	16	negros	PI	10	cuantos
1	1	0.285092830657959	13454	2	16	negros	PI	9	pocos
2	2	0.07219702750444412	17	2	16	negros	Fp	8	.
3	3	0.015464525669813156	2904	2	16	negros	Z	7	60
4	4	0.013529890216886997	1726	2	16	negros	NC	6	meses
5	5	0.010459046810865402	261	2	16	negros	SP	5	de
6	6	0.009522562846541405	1447	2	16	negros	NC	4	días
7	7	0.008434737101197243	2011	2	16	negros	Z	3	100
8	8	0.007491357624530792	2186	2	16	negros	Z	2	50
9	9	0.006358675193041563	1172	2	16	negros	Z	1	20
0	0	0.26019611954689026	17	3	16	negros	Fp	10	.
1	1	0.03158380091190338	302	3	16	negros	CS	9	que
2	2	0.029240772128105164	294	3	16	negros	CC	8	y
3	3	0.02864290028810501	309	3	16	negros	DA	7	los
4	4	0.026800988242030144	13189	3	16	negros	NC	6	inmigrantes
5	5	0.025221658870577812	0	3	16	negros	AQ	5	<s>
6	6	0.024225180968642235	29	3	16	negros	Fd	4	:
7	7	0.02065826952457428	15	3	16	negros	Fc	3	,
8	8	0.015178689733147621	11942	3	16	negros	AQ	2	ilegales
9	9	0.008946450427174568	8062	3	16	negros	AQ	1	vulnerables
0	0	0.20999643206596375	17	4	16	negros	Fp	10	.
1	1	0.07238578796386719	302	4	16	negros	CS	9	que
2	2	0.05385049432516098	0	4	16	negros	AQ	8	<s>
3	3	0.051440101116895676	294	4	16	negros	CC	7	y
4	4	0.033300429582595825	309	4	16	negros	DA	6	los
5	5	0.032487478107213974	15	4	16	negros	Fc	5	,
6	6	0.028628626838326454	29	4	16	negros	Fd	4	:
7	7	0.012259308248758316	261	4	16	negros	SP	3	de
8	8	0.009822291322052479	3220	4	16	negros	AQ	2	europa
9	9	0.008609269745647907	554	4	16	negros	CS	1	si
0	0	0.23403656482696533	17	5	16	negros	Fp	10	.
1	1	0.03663361072540283	29	5	16	negros	Fd	9	:
2	2	0.03658342361450195	302	5	16	negros	CS	8	que
3	3	0.0327569879591465	0	5	16	negros	AQ	7	<s>
4	4	0.032061219215393066	309	5	16	negros	DA	6	los
5	5	0.02825550176203251	15	5	16	negros	Fc	5	,
6	6	0.02035934291779995	294	5	16	negros	CC	4	y
7	7	0.01023994293063879	8062	5	16	negros	AQ	3	vulnerables
8	8	0.008743802085518837	30	5	16	negros	AQ	2	;
9	9	0.007191268727183342	3220	5	16	negros	AQ	1	europa
0	0	0.11395350843667984	294	6	16	negros	CC	10	y
1	1	0.06291889399290085	17	6	16	negros	Fp	9	.
2	2	0.05653759092092514	302	6	16	negros	CS	8	que
3	3	0.05157520994544029	29	6	16	negros	Fd	7	:
4	4	0.03713570907711983	15	6	16	negros	Fc	6	,
5	5	0.029778245836496353	1792	6	16	negros	CC	5	pero
6	6	0.017863530665636063	1032	6	16	negros	DI	4	todos
7	7	0.01675659976899624	0	6	16	negros	Fz	3	<s>
8	8	0.015755847096443176	261	6	16	negros	SP	2	de
9	9	0.015343190170824528	30	6	16	negros	AQ	1	;
0	0	0.09782426059246063	302	7	16	negros	CS	10	que
1	1	0.03816234692931175	15	7	16	negros	Fc	9	,
2	2	0.03738449886441231	0	7	16	negros	Fz	8	<s>
3	3	0.035790152847766876	17	7	16	negros	Fp	7	.
4	4	0.026715343818068504	7814	7	16	negros	AQ	6	pobres
5	5	0.02526540867984295	2299	7	16	negros	NC	5	anos
6	6	0.02342791110277176	309	7	16	negros	DA	4	los
7	7	0.022807985544204712	35009	7	16	negros	AQ	3	negros
8	8	0.018093924969434738	25321	7	16	negros	AQ	2	blancos
9	9	0.01130121573805809	294	7	16	negros	CC	1	y
0	0	0.16077004373073578	7814	8	16	negros	AQ	10	pobres
1	1	0.13707461953163147	8062	8	16	negros	AQ	9	vulnerables
2	2	0.05025872960686684	13189	8	16	negros	NC	8	inmigrantes
3	3	0.034804508090019226	35009	8	16	negros	AQ	7	negros
4	4	0.021768558770418167	302	8	16	negros	CS	6	que
5	5	0.01601818948984146	25352	8	16	negros	AQ	5	débiles
6	6	0.014866847544908524	13454	8	16	negros	PI	4	pocos
7	7	0.01429152861237526	15	8	16	negros	Fc	3	,
8	8	0.013765278272330761	4677	8	16	negros	AQ	2	jóvenes
9	9	0.01116008311510086	23047	8	16	negros	AQ	1	ricos
0	0	0.16322308778762817	7814	9	16	negros	AQ	10	pobres
1	1	0.07035106420516968	8062	9	16	negros	AQ	9	vulnerables
2	2	0.052003148943185806	302	9	16	negros	CS	8	que
3	3	0.05045139044523239	25352	9	16	negros	AQ	7	débiles
4	4	0.024417556822299957	35009	9	16	negros	AQ	6	negros
5	5	0.021311501041054726	0	9	16	negros	Fz	5	<s>
6	6	0.02076083980500698	15	9	16	negros	Fc	4	,
7	7	0.017877396196126938	23047	9	16	negros	AQ	3	ricos
8	8	0.013734751380980015	13454	9	16	negros	PI	2	pocos
9	9	0.012466569431126118	25321	9	16	negros	AQ	1	blancos
0	0	0.38777679204940796	7814	10	16	negros	AQ	10	pobres
1	1	0.08552628010511398	8062	10	16	negros	AQ	9	vulnerables
2	2	0.02320265769958496	302	10	16	negros	CS	8	que
3	3	0.01640809141099453	15	10	16	negros	Fc	7	,
4	4	0.015100562013685703	35009	10	16	negros	AQ	6	negros
5	5	0.014443243853747845	5124	10	16	negros	AQ	5	grandes
6	6	0.014082702808082104	25352	10	16	negros	AQ	4	débiles
7	7	0.013286334462463856	13454	10	16	negros	PI	3	pocos
8	8	0.010031106881797314	4677	10	16	negros	AQ	2	jóvenes
9	9	0.009150144644081593	0	10	16	negros	AQ	1	<s>
0	0	0.18795780837535858	17	11	16	negros	Fp	10	.
1	1	0.045798949897289276	15	11	16	negros	Fc	9	,
2	2	0.02819449082016945	294	11	16	negros	CC	8	y
3	3	0.02632441371679306	0	11	16	negros	Fz	7	<s>
4	4	0.01938203163444996	13454	11	16	negros	PI	6	pocos
5	5	0.018026765435934067	9393	11	16	negros	AQ	5	menudo
6	6	0.017296364530920982	29	11	16	negros	Fd	4	:
7	7	0.015694251284003258	302	11	16	negros	CS	3	que
8	8	0.01257744524627924	3856	11	16	negros	AQ	2	importantes
9	9	0.012041253037750721	6719	11	16	negros	RG	1	poco
0	0	0.9168223142623901	13454	12	16	negros	PI	10	pocos
1	1	0.01574528031051159	12689	12	16	negros	PI	9	cuantos
2	2	0.0055869342759251595	17	12	16	negros	Fp	8	.
3	3	0.0033025280572474003	25321	12	16	negros	AQ	7	blancos
