	index	score	token	sentence	model	dimension	pos_tag	rsv	word
0	0	0.06988386809825897	2666	0	1	españoles	NC	10	españoles
1	1	0.04569200798869133	365	0	1	españoles	DA	9	los
2	2	0.02616659365594387	47483	0	1	españoles	AQ	8	idiotas
3	3	0.023657917976379395	35914	0	1	españoles	AQ	7	gilipollas
4	4	0.022001050412654877	12944	0	1	españoles	AQ	6	felices
5	5	0.021761244162917137	469	0	1	españoles	CS	5	como
6	6	0.01978995092213154	313	0	1	españoles	SP	4	de
7	7	0.018166834488511086	527	0	1	españoles	Fs	3	...
8	8	0.01785341091454029	24387	0	1	españoles	AQ	2	tontos
9	9	0.016948839649558067	10922	0	1	españoles	AQ	1	iguales
0	0	0.07864473760128021	365	1	1	españoles	DA	10	los
1	1	0.04991679638624191	527	1	1	españoles	Fs	9	...
2	2	0.04255242273211479	80	1	1	españoles	Fd	8	:
3	3	0.02592090517282486	313	1	1	españoles	SP	7	de
4	4	0.024585505947470665	469	1	1	españoles	CS	6	como
5	5	0.02311031147837639	355	1	1	españoles	DI	5	un
6	6	0.019529512152075768	2666	1	1	españoles	AQ	4	españoles
7	7	0.01751500926911831	12944	1	1	españoles	AQ	3	felices
8	8	0.016644660383462906	20393	1	1	españoles	AQ	2	impresionantes
9	9	0.014698412269353867	1278	1	1	españoles	PI	1	unos
0	0	0.09056571871042252	21221	2	1	españoles	NC	10	ladrones
1	1	0.044751476496458054	44446	2	1	españoles	AQ	9	ignorantes
2	2	0.03912397846579552	48089	2	1	españoles	NC	8	chorizos
3	3	0.039048273116350174	35914	2	1	españoles	NC	7	gilipollas
4	4	0.028515709564089775	20770	2	1	españoles	NC	6	delincuentes
5	5	0.028341978788375854	44071	2	1	españoles	NC	5	payasos
6	6	0.025781570002436638	34740	2	1	españoles	AQ	4	inútiles
7	7	0.020370787009596825	20611	2	1	españoles	NC	3	asesinos
8	8	0.019366582855582237	40731	2	1	españoles	NC	2	genios
9	9	0.018969019874930382	46207	2	1	españoles	AQ	1	cobardes
0	0	0.08099780231714249	2666	3	1	españoles	AQ	10	españoles
1	1	0.06441955268383026	365	3	1	españoles	DA	9	los
2	2	0.03182128444314003	8319	3	1	españoles	AQ	8	extranjeros
3	3	0.024572892114520073	527	3	1	españoles	Fs	7	...
4	4	0.02294451743364334	25787	3	1	españoles	AQ	6	racistas
5	5	0.018038064241409302	9827	3	1	españoles	AQ	5	pobres
6	6	0.014715288765728474	469	3	1	españoles	CS	4	como
7	7	0.012853124178946018	313	3	1	españoles	SP	3	de
8	8	0.01205550879240036	12696	3	1	españoles	AQ	2	ilegales
9	9	0.01189605426043272	80	3	1	españoles	Fd	1	:
0	0	0.07725615054368973	365	4	1	españoles	DA	10	los
1	1	0.06920532137155533	2666	4	1	españoles	AQ	9	españoles
2	2	0.045777514576911926	527	4	1	españoles	Fs	8	...
3	3	0.038907915353775024	80	4	1	españoles	Fd	7	:
4	4	0.031567465513944626	68	4	1	españoles	Fp	6	.
5	5	0.022060014307498932	313	4	1	españoles	SP	5	de
