	index	score	token	sentence	model	dimension	pos_tag	sentiment	rsv	word
0	0	0.0976862907409668	24579	0	0	españoles		NEG	10	tontos
1	1	0.07457252591848373	36396	0	0	españoles		NEG	9	gilipollas
2	2	0.026330776512622833	974	0	0	españoles		NEG	8	así
3	3	0.026328768581151962	48316	0	0	españoles		NEG	7	idiotas
4	4	0.024810994043946266	2656	0	0	españoles		NEU	6	españoles
5	5	0.02225218527019024	13012	0	0	españoles		POS	5	felices
6	6	0.01809074357151985	7817	0	0	españoles		NEG	4	malos
7	7	0.01662922091782093	5251	0	0	españoles		POS	3	buenos
8	8	0.011862875893712044	10940	0	0	españoles		NEG	2	iguales
9	9	0.010401343926787376	7485	0	0	españoles		NEG	1	perros
0	0	0.07136155664920807	13012	1	0	españoles		POS	10	felices
1	1	0.051885951310396194	36396	1	0	españoles		NEG	9	gilipollas
2	2	0.04420318827033043	24579	1	0	españoles		NEG	8	tontos
3	3	0.02767009101808071	9859	1	0	españoles		NEG	7	pobres
4	4	0.02363869920372963	7817	1	0	españoles		NEG	6	malos
5	5	0.02219247817993164	5767	1	0	españoles		NEU	5	asi
6	6	0.017247064039111137	48316	1	0	españoles		NEG	4	idiotas
7	7	0.01523140724748373	5251	1	0	españoles		POS	3	buenos
8	8	0.014512532390654087	10782	1	0	españoles		POS	2	ricos
9	9	0.013503187336027622	33967	1	0	españoles		NEU	1	jovenes
0	0	0.11454065889120102	21405	2	0	españoles		NEG	10	ladrones
1	1	0.07216428220272064	45220	2	0	españoles		NEG	9	ignorantes
2	2	0.06472503393888474	48968	2	0	españoles		NEG	8	chorizos
3	3	0.04852505773305893	36396	2	0	españoles		NEG	7	gilipollas
4	4	0.042501144111156464	32228	2	0	españoles		NEG	6	cerdos
5	5	0.031872380524873734	20948	2	0	españoles		NEG	5	delincuentes
6	6	0.029673384502530098	20782	2	0	españoles		NEG	4	asesinos
7	7	0.028776343911886215	22489	2	0	españoles		NEG	3	corruptos
8	8	0.02575274370610714	47004	2	0	españoles		NEG	2	cobardes
9	9	0.02453702501952648	48316	2	0	españoles		NEG	1	idiotas
0	0	0.03596115857362747	8349	3	0	españoles		NEG	10	extranjeros
1	1	0.03256981819868088	7481	3	0	españoles		NEG	9	inmigrantes
2	2	0.02882947400212288	12750	3	0	españoles		NEG	8	ilegales
3	3	0.02586989291012287	40224	3	0	españoles		POS	7	bienvenidos
4	4	0.02570112608373165	24579	3	0	españoles		NEG	6	tontos
5	5	0.023803196847438812	26014	3	0	españoles		NEG	5	racistas
6	6	0.02254762314260006	5251	3	0	españoles		POS	4	buenos
7	7	0.021522603929042816	7817	3	0	españoles		NEG	3	malos
8	8	0.021509595215320587	2656	3	0	españoles		NEU	2	españoles
9	9	0.01860528625547886	36396	3	0	españoles		NEG	1	gilipollas
0	0	0.14059171080589294	10940	4	0	españoles		NEG	10	iguales
1	1	0.11205805838108063	7789	4	0	españoles		POS	9	libres
2	2	0.037192393094301224	13012	4	0	españoles		POS	8	felices
3	3	0.030984114855527878	36396	4	0	españoles		NEG	7	gilipollas
4	4	0.027910619974136353	2656	4	0	españoles		NEU	6	españoles
5	5	0.02567082829773426	784	4	0	españoles		NEU	5	todos
6	6	0.01907876692712307	24579	4	0	españoles		NEG	4	tontos
7	7	0.015958718955516815	467	4	0	españoles		POS	3	más
8	8	0.01590459980070591	5683	4	0	españoles		NEU	2	europeos
9	9	0.012691667303442955	974	4	0	españoles		NEG	1	así
0	0	0.07468513399362564	13012	5	0	españoles		POS	10	felices
1	1	0.053489867597818375	467	5	0	españoles		NEU	9	más
2	2	0.034328680485486984	8349	5	0	españoles		NEU	8	extranjeros
3	3	0.026620155200362206	364	5	0	españoles		NEG	7	los
4	4	0.016469134017825127	10782	5	0	españoles		POS	6	ricos
5	5	0.0164218470454216	2656	5	0	españoles		NEU	5	españoles
6	6	0.016063671559095383	30682	5	0	españoles		NEU	4	optimistas
7	7	0.01472332701086998	5251	5	0	españoles		POS	3	buenos
8	8	0.014499535784125328	36396	5	0	españoles		NEG	2	gilipollas
9	9	0.011419367976486683	727	5	0	españoles		NEG	1	muy
0	0	0.5281783938407898	10940	6	0	españoles		NEG	10	iguales
1	1	0.0627313181757927	13012	6	0	españoles		POS	9	felices
2	2	0.061082515865564346	2656	6	0	españoles		NEU	8	españoles
3	3	0.026292266324162483	24579	6	0	españoles		NEG	7	tontos
4	4	0.0213912446051836	5251	6	0	españoles		POS	6	buenos
5	5	0.015361012890934944	6497	6	0	españoles		NEU	5	catalanes
6	6	0.015228134579956532	40224	6	0	españoles		POS	4	bienvenidos
7	7	0.013465536758303642	36396	6	0	españoles		NEG	3	gilipollas
8	8	0.01031588576734066	974	6	0	españoles		NEG	2	así
9	9	0.00584481842815876	10782	6	0	españoles		NEU	1	ricos
0	0	0.14861372113227844	6500	7	0	españoles		NEG	10	afectados
1	1	0.0670226439833641	13012	7	0	españoles		POS	9	felices
2	2	0.06445885449647903	32757	7	0	españoles		NEG	8	perjudicados
3	3	0.03021448478102684	7478	7	0	españoles		NEU	7	activos
4	4	0.024753179401159286	12762	7	0	españoles		NEU	6	preparados
5	5	0.021726511418819427	8452	7	0	españoles		NEG	5	interesados
6	6	0.020493725314736366	28932	7	0	españoles		POS	4	solidarios
7	7	0.01806952990591526	7423	7	0	españoles		NEU	3	seguros
8	8	0.017297618091106415	10782	7	0	españoles		POS	2	ricos
9	9	0.015158829279243946	9859	7	0	españoles		NEG	1	pobres
0	0	0.18609030544757843	6500	8	0	españoles		NEG	10	afectados
1	1	0.07782614976167679	32757	8	0	españoles		NEG	9	perjudicados
2	2	0.04791479557752609	6642	8	0	españoles		NEU	8	numerosos
3	3	0.029846487566828728	10782	8	0	españoles		POS	7	ricos
4	4	0.025066502392292023	38131	8	0	españoles		NEU	6	beneficiados
5	5	0.023165442049503326	9859	8	0	españoles		NEG	5	pobres
6	6	0.023111820220947266	7478	8	0	españoles		NEU	4	activos
7	7	0.020756399258971214	40360	8	0	españoles		NEU	3	buscados
8	8	0.016510847955942154	16344	8	0	españoles		NEG	2	vulnerables
9	9	0.015665674582123756	28932	8	0	españoles		POS	1	solidarios
0	0	0.08212727308273315	28932	9	0	españoles		POS	10	solidarios
1	1	0.07878708839416504	10782	9	0	españoles		POS	9	ricos
2	2	0.054288871586322784	13012	9	0	españoles		POS	8	felices
3	3	0.04230574518442154	6500	9	0	españoles		NEG	7	afectados
4	4	0.04097239300608635	9859	9	0	españoles		NEG	6	pobres
5	5	0.028106361627578735	16344	9	0	españoles		NEG	5	vulnerables
6	6	0.02750197798013687	32757	9	0	españoles		NEG	4	perjudicados
7	7	0.02163279429078102	30107	9	0	españoles		NEG	3	desfavorecidos
8	8	0.02113283984363079	7478	9	0	españoles		NEU	2	activos
9	9	0.018680477514863014	25904	9	0	españoles		NEU	1	informados
0	0	0.05689799040555954	6500	10	0	españoles		NEG	10	afectados
1	1	0.050453070551157	7478	10	0	españoles		NEU	9	activos
2	2	0.04501718282699585	6642	10	0	españoles		NEU	8	numerosos
3	3	0.03297757729887962	40360	10	0	españoles		NEU	7	buscados
4	4	0.029095590114593506	27355	10	0	españoles		POS	6	valorados
5	5	0.02643686719238758	19087	10	0	españoles		POS	5	satisfechos
6	6	0.024856701493263245	14364	10	0	españoles		POS	4	fieles
7	7	0.022517062723636627	33928	10	0	españoles		NEG	3	demandados
8	8	0.020909154787659645	8452	10	0	españoles		NEU	2	interesados
9	9	0.020542532205581665	9096	10	0	españoles		NEG	1	viajeros
0	0	0.10127705335617065	5251	11	0	españoles		POS	10	buenos
1	1	0.07125513255596161	21629	11	0	españoles		NEU	9	listos
2	2	0.06425949931144714	24579	11	0	españoles		NEG	8	tontos
3	3	0.04737019166350365	14661	11	0	españoles		POS	7	inteligentes
4	4	0.0449909083545208	7817	11	0	españoles		NEG	6	malos
5	5	0.03537960350513458	2656	11	0	españoles		NEG	5	españoles
6	6	0.033963512629270554	13012	11	0	españoles		POS	4	felices
7	7	0.023418255150318146	28932	11	0	españoles		POS	3	solidarios
8	8	0.021869970485568047	10782	11	0	españoles		POS	2	ricos
9	9	0.01980322040617466	44664	11	0	españoles		POS	1	guapos
0	0	0.1175447553396225	48968	12	0	españoles		NEG	10	chorizos
1	1	0.11256802082061768	21405	12	0	españoles		NEG	9	ladrones
2	2	0.05252211168408394	32228	12	0	españoles		NEG	8	cerdos
3	3	0.05077090859413147	36396	12	0	españoles		NEG	7	gilipollas
4	4	0.040903326123952866	22489	12	0	españoles		NEG	6	corruptos
5	5	0.03628450259566307	24139	12	0	españoles		NEG	5	fascistas
6	6	0.025743311271071434	45220	12	0	españoles		NEG	4	ignorantes
7	7	0.023185281082987785	47004	12	0	españoles		NEG	3	cobardes
8	8	0.022251693531870842	20782	12	0	españoles		NEG	2	asesinos
9	9	0.02194874733686447	16111	12	0	españoles		NEG	1	santos
0	0	0.04321598261594772	36396	0	0	franceses		NEG	10	gilipollas
1	1	0.04255395382642746	5251	0	0	franceses		POS	9	buenos
2	2	0.03956307843327522	24579	0	0	franceses		NEG	8	tontos
3	3	0.036775507032871246	7817	0	0	franceses		NEG	7	malos
4	4	0.03036586008965969	28172	0	0	franceses		POS	6	geniales
5	5	0.02857694961130619	1938	0	0	franceses		POS	5	mejores
6	6	0.021890969946980476	974	0	0	franceses		NEG	4	así
7	7	0.017754409462213516	48316	0	0	franceses		NEG	3	idiotas
8	8	0.017357293516397476	11864	0	0	franceses		NEG	2	peores
9	9	0.014784523285925388	10940	0	0	franceses		NEG	1	iguales
0	0	0.04652077332139015	13012	1	0	franceses		POS	10	felices
1	1	0.038172174245119095	24579	1	0	franceses		NEG	9	tontos
2	2	0.03792973607778549	36396	1	0	franceses		NEG	8	gilipollas
3	3	0.026176907122135162	5251	1	0	franceses		POS	7	buenos
4	4	0.02561515010893345	5767	1	0	franceses		NEU	6	asi
5	5	0.024305108934640884	48316	1	0	franceses		NEG	5	idiotas
6	6	0.023689191788434982	7817	1	0	franceses		NEG	4	malos
7	7	0.019117722287774086	10940	1	0	franceses		NEG	3	iguales
8	8	0.016078727319836617	10782	1	0	franceses		POS	2	ricos
9	9	0.014930921606719494	1938	1	0	franceses		POS	1	mejores
0	0	0.06056923791766167	21405	2	0	franceses		NEG	10	ladrones
1	1	0.051373567432165146	32228	2	0	franceses		NEG	9	cerdos
2	2	0.050399139523506165	45220	2	0	franceses		NEG	8	ignorantes
3	3	0.04445541277527809	36396	2	0	franceses		NEG	7	gilipollas
4	4	0.03636281192302704	48968	2	0	franceses		NEG	6	chorizos
5	5	0.03437184542417526	5442	2	0	franceses		POS	5	artistas
6	6	0.029107093811035156	16111	2	0	franceses		NEG	4	santos
7	7	0.026189252734184265	20185	2	0	franceses		NEG	3	nazis
8	8	0.023283032700419426	20782	2	0	franceses		NEG	2	asesinos
9	9	0.022462250664830208	48316	2	0	franceses		NEG	1	idiotas
0	0	0.04057731106877327	40224	3	0	franceses		POS	10	bienvenidos
1	1	0.03513196110725403	7481	3	0	franceses		NEG	9	inmigrantes
2	2	0.02652886137366295	12750	3	0	franceses		NEG	8	ilegales
3	3	0.024219214916229248	2656	3	0	franceses		NEU	7	españoles
4	4	0.02004300430417061	8349	3	0	franceses		NEG	6	extranjeros
5	5	0.019131917506456375	26014	3	0	franceses		NEG	5	racistas
6	6	0.017224187031388283	5251	3	0	franceses		POS	4	buenos
7	7	0.01672654040157795	10782	3	0	franceses		POS	3	ricos
8	8	0.01583840884268284	15615	3	0	franceses		NEU	2	musulmanes
9	9	0.015162590891122818	364	3	0	franceses		NEG	1	los
0	0	0.05426874756813049	36396	4	0	franceses		NEG	10	gilipollas
1	1	0.035215042531490326	10940	4	0	franceses		NEG	9	iguales
2	2	0.033595189452171326	24579	4	0	franceses		NEG	8	tontos
3	3	0.029543135315179825	13012	4	0	franceses		POS	7	felices
4	4	0.026731062680482864	48316	4	0	franceses		NEG	6	idiotas
5	5	0.02536853402853012	2656	4	0	franceses		NEU	5	españoles
6	6	0.019567430019378662	974	4	0	franceses		NEU	4	así
7	7	0.015722647309303284	467	4	0	franceses		NEU	3	más
8	8	0.015234495513141155	364	4	0	franceses		NEU	2	los
9	9	0.015210621990263462	5683	4	0	franceses		NEU	1	europeos
0	0	0.06546520441770554	467	5	0	franceses		NEU	10	más
1	1	0.03490535542368889	13012	5	0	franceses		POS	9	felices
2	2	0.026124658063054085	2656	5	0	franceses		NEU	8	españoles
3	3	0.02607794664800167	364	5	0	franceses		NEG	7	los
4	4	0.021970275789499283	8349	5	0	franceses		NEU	6	extranjeros
5	5	0.015344117768108845	2134	5	0	franceses		NEU	5	mayoría
6	6	0.015162359923124313	5251	5	0	franceses		POS	4	buenos
7	7	0.014272518455982208	1111	5	0	franceses		NEG	3	menos
8	8	0.01404372788965702	30682	5	0	franceses		NEU	2	optimistas
9	9	0.01366876158863306	40224	5	0	franceses		POS	1	bienvenidos
0	0	0.21730874478816986	10940	6	0	franceses		NEG	10	iguales
1	1	0.052943937480449677	12391	6	0	franceses		NEU	9	franceses
2	2	0.04815509170293808	5251	6	0	franceses		POS	8	buenos
3	3	0.02909763716161251	2656	6	0	franceses		NEU	7	españoles
4	4	0.025338251143693924	974	6	0	franceses		NEU	6	así
5	5	0.022806383669376373	13012	6	0	franceses		POS	5	felices
6	6	0.019482672214508057	7817	6	0	franceses		NEG	4	malos
7	7	0.013959522359073162	36396	6	0	franceses		NEG	3	gilipollas
8	8	0.01349448598921299	40224	6	0	franceses		POS	2	bienvenidos
9	9	0.01285571325570345	24579	6	0	franceses		NEG	1	tontos
0	0	0.13145394623279572	6500	7	0	franceses		NEG	10	afectados
1	1	0.060833703726530075	32757	7	0	franceses		NEG	9	perjudicados
2	2	0.05721663683652878	13012	7	0	franceses		POS	8	felices
3	3	0.03659661486744881	8452	7	0	franceses		NEU	7	interesados
4	4	0.024805832654237747	7478	7	0	franceses		NEU	6	activos
5	5	0.022614525631070137	10782	7	0	franceses		POS	5	ricos
6	6	0.02241097204387188	12762	7	0	franceses		NEU	4	preparados
7	7	0.01775740645825863	38131	7	0	franceses		NEU	3	beneficiados
8	8	0.015564615838229656	7423	7	0	franceses		NEU	2	seguros
9	9	0.014314277097582817	28932	7	0	franceses		POS	1	solidarios
0	0	0.32240328192710876	6500	8	0	franceses		NEG	10	afectados
1	1	0.10471274703741074	32757	8	0	franceses		NEG	9	perjudicados
2	2	0.06847493350505829	6642	8	0	franceses		NEU	8	numerosos
3	3	0.030383218079805374	38131	8	0	franceses		NEU	7	beneficiados
4	4	0.02048410288989544	7478	8	0	franceses		NEU	6	activos
5	5	0.015106969512999058	40360	8	0	franceses		NEU	5	buscados
6	6	0.014096332713961601	9859	8	0	franceses		NEG	4	pobres
7	7	0.013669515959918499	10782	8	0	franceses		POS	3	ricos
8	8	0.012199916876852512	16344	8	0	franceses		NEU	2	vulnerables
9	9	0.01122250035405159	8452	8	0	franceses		NEU	1	interesados
0	0	0.09801875054836273	6500	9	0	franceses		NEG	10	afectados
1	1	0.07196087390184402	10782	9	0	franceses		POS	9	ricos
2	2	0.04393404349684715	9859	9	0	franceses		NEG	8	pobres
3	3	0.04391259700059891	13012	9	0	franceses		POS	7	felices
4	4	0.04169194772839546	32757	9	0	franceses		NEG	6	perjudicados
5	5	0.03477524593472481	28932	9	0	franceses		POS	5	solidarios
6	6	0.02941589057445526	7478	9	0	franceses		NEU	4	activos
7	7	0.017512526363134384	19087	9	0	franceses		POS	3	satisfechos
8	8	0.012331100180745125	7423	9	0	franceses		NEU	2	seguros
9	9	0.011439576745033264	25904	9	0	franceses		NEU	1	informados
0	0	0.1285392940044403	6500	10	0	franceses		NEG	10	afectados
1	1	0.06188127025961876	6642	10	0	franceses		NEU	9	numerosos
2	2	0.04068266600370407	33928	10	0	franceses		NEU	8	demandados
3	3	0.038203395903110504	7478	10	0	franceses		NEU	7	activos
4	4	0.03596349433064461	24627	10	0	franceses		NEU	6	solicitados
5	5	0.034666359424591064	40360	10	0	franceses		NEU	5	buscados
6	6	0.031752508133649826	8452	10	0	franceses		NEU	4	interesados
7	7	0.03013000451028347	14364	10	0	franceses		POS	3	fieles
8	8	0.029728639870882034	19087	10	0	franceses		POS	2	satisfechos
9	9	0.028247110545635223	32757	10	0	franceses		NEG	1	perjudicados
0	0	0.3233232796192169	5251	11	0	franceses		POS	10	buenos
1	1	0.0411425344645977	44664	11	0	franceses		POS	9	guapos
2	2	0.030550312250852585	10782	11	0	franceses		POS	8	ricos
3	3	0.028929641470313072	21629	11	0	franceses		NEU	7	listos
4	4	0.02476905845105648	7817	11	0	franceses		NEG	6	malos
5	5	0.02387486770749092	14661	11	0	franceses		POS	5	inteligentes
6	6	0.01718953438103199	39679	11	0	franceses		POS	4	amables
7	7	0.014512262307107449	27290	11	0	franceses		NEU	3	parecidos
8	8	0.013996466994285583	21835	11	0	franceses		NEU	2	curiosos
9	9	0.013397326692938805	22364	11	0	franceses		POS	1	elegantes
0	0	0.048866983503103256	32228	12	0	franceses		NEG	10	cerdos
1	1	0.04096226394176483	21405	12	0	franceses		NEG	9	ladrones
2	2	0.040419574826955795	20185	12	0	franceses		NEG	8	nazis
3	3	0.036173004657030106	48968	12	0	franceses		NEG	7	chorizos
4	4	0.035946037620306015	16111	12	0	franceses		NEG	6	santos
5	5	0.03363979980349541	36396	12	0	franceses		NEG	5	gilipollas
6	6	0.02617323026061058	5442	12	0	franceses		POS	4	artistas
7	7	0.019098572432994843	41403	12	0	franceses		POS	3	genios
8	8	0.018351195380091667	24384	12	0	franceses		NEG	2	salvajes
9	9	0.017882155254483223	24139	12	0	franceses		NEG	1	fascistas
0	0	0.0715894103050232	24579	0	0	británicos		NEG	10	tontos
1	1	0.04144253209233284	36396	0	0	británicos		NEG	9	gilipollas
2	2	0.026980290189385414	48316	0	0	británicos		NEG	8	idiotas
3	3	0.026458607986569405	7817	0	0	británicos		NEG	7	malos
4	4	0.023663120344281197	5251	0	0	británicos		POS	6	buenos
5	5	0.02089782990515232	26014	0	0	británicos		NEG	5	racistas
6	6	0.019449656829237938	974	0	0	británicos		NEU	4	así
7	7	0.015295561403036118	10940	0	0	británicos		NEU	3	iguales
8	8	0.014738628640770912	2656	0	0	británicos		NEU	2	españoles
9	9	0.014738242141902447	13012	0	0	británicos		POS	1	felices
0	0	0.0863751769065857	13012	1	0	británicos		POS	10	felices
1	1	0.02125551551580429	24579	1	0	británicos		NEG	9	tontos
2	2	0.0195002481341362	10782	1	0	británicos		POS	8	ricos
3	3	0.017194315791130066	36396	1	0	británicos		NEG	7	gilipollas
4	4	0.014646010473370552	5251	1	0	británicos		POS	6	buenos
5	5	0.014168938621878624	10940	1	0	británicos		NEU	5	iguales
6	6	0.014059506356716156	48316	1	0	británicos		NEG	4	idiotas
7	7	0.013991865329444408	467	1	0	británicos		NEU	3	más
8	8	0.012991922907531261	1361	1	0	británicos		NEU	2	mas
9	9	0.012758340686559677	30682	1	0	británicos		NEU	1	optimistas
0	0	0.06255326420068741	21405	2	0	británicos		NEG	10	ladrones
1	1	0.0588521882891655	32228	2	0	británicos		NEG	9	cerdos
2	2	0.053700584918260574	45220	2	0	británicos		NEG	8	ignorantes
3	3	0.04224814847111702	36396	2	0	británicos		NEG	7	gilipollas
4	4	0.031038666144013405	48316	2	0	británicos		NEG	6	idiotas
5	5	0.030623067170381546	16111	2	0	británicos		NEU	5	santos
6	6	0.028845151886343956	48968	2	0	británicos		NEG	4	chorizos
7	7	0.022507773712277412	5442	2	0	británicos		POS	3	artistas
8	8	0.02185586839914322	20185	2	0	británicos		NEG	2	nazis
9	9	0.02068350650370121	20782	2	0	británicos		NEG	1	asesinos
0	0	0.042305562645196915	40224	3	0	británicos		POS	10	bienvenidos
1	1	0.03210209682583809	467	3	0	británicos		NEU	9	más
2	2	0.02767334133386612	7481	3	0	británicos		NEU	8	inmigrantes
3	3	0.025031616911292076	364	3	0	británicos		NEU	7	los
4	4	0.023589106276631355	12750	3	0	británicos		NEG	6	ilegales
5	5	0.022530045360326767	2134	3	0	británicos		NEU	5	mayoría
6	6	0.021270442754030228	10782	3	0	británicos		POS	4	ricos
7	7	0.01869836449623108	13012	3	0	británicos		POS	3	felices
8	8	0.018136145547032356	8349	3	0	británicos		NEU	2	extranjeros
9	9	0.01525902096182108	5251	3	0	británicos		POS	1	buenos
