	index	score	token	sentence	model	dimension	pos_tag	rsv	word
0	0	0.0976862907409668	24579	0	0	españoles	AQ	10	tontos
1	1	0.07457252591848373	36396	0	0	españoles	AQ	9	gilipollas
2	2	0.026330776512622833	974	0	0	españoles	RG	8	así
3	3	0.026328768581151962	48316	0	0	españoles	AQ	7	idiotas
4	4	0.024810994043946266	2656	0	0	españoles	NC	6	españoles
5	5	0.02225218527019024	13012	0	0	españoles	AQ	5	felices
6	6	0.01809074357151985	7817	0	0	españoles	AQ	4	malos
7	7	0.01662922091782093	5251	0	0	españoles	AQ	3	buenos
8	8	0.011862875893712044	10940	0	0	españoles	AQ	2	iguales
9	9	0.010401343926787376	7485	0	0	españoles	AQ	1	perros
0	0	0.07136155664920807	13012	1	0	españoles	AQ	10	felices
1	1	0.051885951310396194	36396	1	0	españoles	AQ	9	gilipollas
2	2	0.04420318827033043	24579	1	0	españoles	AQ	8	tontos
3	3	0.02767009101808071	9859	1	0	españoles	AQ	7	pobres
4	4	0.02363869920372963	7817	1	0	españoles	AQ	6	malos
5	5	0.02219247817993164	5767	1	0	españoles	RG	5	asi
6	6	0.017247064039111137	48316	1	0	españoles	AQ	4	idiotas
7	7	0.01523140724748373	5251	1	0	españoles	AQ	3	buenos
8	8	0.014512532390654087	10782	1	0	españoles	AQ	2	ricos
9	9	0.013503187336027622	33967	1	0	españoles	NC	1	jovenes
0	0	0.03596115857362747	8349	2	0	españoles	AQ	10	extranjeros
1	1	0.03256981819868088	7481	2	0	españoles	NC	9	inmigrantes
2	2	0.02882947400212288	12750	2	0	españoles	AQ	8	ilegales
3	3	0.02586989291012287	40224	2	0	españoles	AQ	7	bienvenidos
4	4	0.02570112608373165	24579	2	0	españoles	AQ	6	tontos
5	5	0.023803196847438812	26014	2	0	españoles	AQ	5	racistas
6	6	0.02254762314260006	5251	2	0	españoles	AQ	4	buenos
7	7	0.021522603929042816	7817	2	0	españoles	AQ	3	malos
8	8	0.021509595215320587	2656	2	0	españoles	AQ	2	españoles
9	9	0.01860528625547886	36396	2	0	españoles	AQ	1	gilipollas
0	0	0.14059171080589294	10940	3	0	españoles	AQ	10	iguales
1	1	0.11205805838108063	7789	3	0	españoles	AQ	9	libres
2	2	0.037192393094301224	13012	3	0	españoles	AQ	8	felices
3	3	0.030984114855527878	36396	3	0	españoles	AQ	7	gilipollas
4	4	0.027910619974136353	2656	3	0	españoles	AQ	6	españoles
5	5	0.02567082829773426	784	3	0	españoles	PI	5	todos
6	6	0.01907876692712307	24579	3	0	españoles	AQ	4	tontos
7	7	0.015958718955516815	467	3	0	españoles	RG	3	más
8	8	0.01590459980070591	5683	3	0	españoles	AQ	2	europeos
9	9	0.012691667303442955	974	3	0	españoles	RG	1	así
0	0	0.07468513399362564	13012	4	0	españoles	AQ	10	felices
1	1	0.053489867597818375	467	4	0	españoles	RG	9	más
2	2	0.034328680485486984	8349	4	0	españoles	AQ	8	extranjeros
3	3	0.026620155200362206	364	4	0	españoles	DA	7	los
4	4	0.016469134017825127	10782	4	0	españoles	AQ	6	ricos
5	5	0.0164218470454216	2656	4	0	españoles	AQ	5	españoles
6	6	0.016063671559095383	30682	4	0	españoles	AQ	4	optimistas
7	7	0.01472332701086998	5251	4	0	españoles	AQ	3	buenos
8	8	0.014499535784125328	36396	4	0	españoles	AQ	2	gilipollas
9	9	0.011419367976486683	727	4	0	españoles	RG	1	muy
0	0	0.04321598261594772	36396	0	0	franceses	AQ	10	gilipollas
1	1	0.04255395382642746	5251	0	0	franceses	AQ	9	buenos
2	2	0.03956307843327522	24579	0	0	franceses	AQ	8	tontos
3	3	0.036775507032871246	7817	0	0	franceses	AQ	7	malos
4	4	0.03036586008965969	28172	0	0	franceses	AQ	6	geniales
5	5	0.02857694961130619	1938	0	0	franceses	AQ	5	mejores
6	6	0.021890969946980476	974	0	0	franceses	RG	4	así
7	7	0.017754409462213516	48316	0	0	franceses	AQ	3	idiotas
8	8	0.017357293516397476	11864	0	0	franceses	AQ	2	peores
9	9	0.014784523285925388	10940	0	0	franceses	AQ	1	iguales
0	0	0.04652077332139015	13012	1	0	franceses	AQ	10	felices
1	1	0.038172174245119095	24579	1	0	franceses	AQ	9	tontos
2	2	0.03792973607778549	36396	1	0	franceses	AQ	8	gilipollas
3	3	0.026176907122135162	5251	1	0	franceses	AQ	7	buenos
4	4	0.02561515010893345	5767	1	0	franceses	RG	6	asi
5	5	0.024305108934640884	48316	1	0	franceses	AQ	5	idiotas
6	6	0.023689191788434982	7817	1	0	franceses	AQ	4	malos
7	7	0.019117722287774086	10940	1	0	franceses	AQ	3	iguales
8	8	0.016078727319836617	10782	1	0	franceses	AQ	2	ricos
9	9	0.014930921606719494	1938	1	0	franceses	AQ	1	mejores
0	0	0.04057731106877327	40224	2	0	franceses	AQ	10	bienvenidos
1	1	0.03513196110725403	7481	2	0	franceses	NC	9	inmigrantes
2	2	0.02652886137366295	12750	2	0	franceses	AQ	8	ilegales
3	3	0.024219214916229248	2656	2	0	franceses	AQ	7	españoles
4	4	0.02004300430417061	8349	2	0	franceses	AQ	6	extranjeros
5	5	0.019131917506456375	26014	2	0	franceses	AQ	5	racistas
6	6	0.017224187031388283	5251	2	0	franceses	AQ	4	buenos
7	7	0.01672654040157795	10782	2	0	franceses	AQ	3	ricos
8	8	0.01583840884268284	15615	2	0	franceses	AQ	2	musulmanes
9	9	0.015162590891122818	364	2	0	franceses	DA	1	los
0	0	0.05426874756813049	36396	3	0	franceses	AQ	10	gilipollas
1	1	0.035215042531490326	10940	3	0	franceses	AQ	9	iguales
2	2	0.033595189452171326	24579	3	0	franceses	AQ	8	tontos
3	3	0.029543135315179825	13012	3	0	franceses	AQ	7	felices
4	4	0.026731062680482864	48316	3	0	franceses	AQ	6	idiotas
5	5	0.02536853402853012	2656	3	0	franceses	AQ	5	españoles
6	6	0.019567430019378662	974	3	0	franceses	RG	4	así
7	7	0.015722647309303284	467	3	0	franceses	RG	3	más
8	8	0.015234495513141155	364	3	0	franceses	DA	2	los
9	9	0.015210621990263462	5683	3	0	franceses	AQ	1	europeos
0	0	0.06546520441770554	467	4	0	franceses	RG	10	más
1	1	0.03490535542368889	13012	4	0	franceses	AQ	9	felices
2	2	0.026124658063054085	2656	4	0	franceses	AQ	8	españoles
3	3	0.02607794664800167	364	4	0	franceses	DA	7	los
4	4	0.021970275789499283	8349	4	0	franceses	AQ	6	extranjeros
5	5	0.015344117768108845	2134	4	0	franceses	NC	5	mayoría
6	6	0.015162359923124313	5251	4	0	franceses	AQ	4	buenos
7	7	0.014272518455982208	1111	4	0	franceses	RG	3	menos
8	8	0.01404372788965702	30682	4	0	franceses	AQ	2	optimistas
9	9	0.01366876158863306	40224	4	0	franceses	AQ	1	bienvenidos
0	0	0.0715894103050232	24579	0	0	británicos	AQ	10	tontos
1	1	0.04144253209233284	36396	0	0	británicos	AQ	9	gilipollas
2	2	0.026980290189385414	48316	0	0	británicos	AQ	8	idiotas
3	3	0.026458607986569405	7817	0	0	británicos	AQ	7	malos
4	4	0.023663120344281197	5251	0	0	británicos	AQ	6	buenos
