	index	score	token	sentence	model	dimension	pos_tag	rsv	word
0	0	0.2723192572593689	10423	0	9	negros	NC	10	negros
1	1	0.07088415324687958	1568	0	9	negros	NC	9	mujeres
2	2	0.041819699108600616	3641	0	9	negros	AQ	8	negro
3	3	0.023959331214427948	28684	0	9	negros	AQ	7	feministas
4	4	0.0181160569190979	1460	0	9	negros	AQ	6	diferentes
5	5	0.014041362330317497	419	0	9	negros	RG	5	más
6	6	0.01365506462752819	17343	0	9	negros	NC	4	asesinatos
7	7	0.009295158088207245	12695	0	9	negros	AQ	3	negras
8	8	0.008544192649424076	1404	0	9	negros	NC	2	millones
9	9	0.008414454758167267	44619	0	9	negros	AQ	1	brutales
0	0	0.39649972319602966	21996	1	9	negros	NC	10	jovenes
1	1	0.1042402982711792	10423	1	9	negros	AQ	9	negros
2	2	0.033240076154470444	1568	1	9	negros	NC	8	mujeres
3	3	0.03221603482961655	7382	1	9	negros	AQ	7	adolescentes
4	4	0.018356477841734886	2792	1	9	negros	AQ	6	jóvenes
5	5	0.014231777749955654	3280	1	9	negros	AQ	5	estudiantes
6	6	0.010063461028039455	2538	1	9	negros	AQ	4	venes
7	7	0.0067327977158129215	2655	1	9	negros	NC	3	joven
8	8	0.006277770269662142	8111	1	9	negros	AQ	2	pobres
9	9	0.005486906971782446	952	1	9	negros	CC	1	mas
0	0	0.10918138176202774	1662	2	9	negros	NC	10	niños
1	1	0.09539712220430374	2792	2	9	negros	NC	9	jóvenes
2	2	0.06534288823604584	21996	2	9	negros	NC	8	jovenes
3	3	0.045062970370054245	7382	2	9	negros	NC	7	adolescentes
4	4	0.037437159568071365	10423	2	9	negros	AQ	6	negros
5	5	0.03078254498541355	3726	2	9	negros	NC	5	tipos
6	6	0.029907910153269768	2323	2	9	negros	NC	4	hombres
7	7	0.02331174910068512	5839	2	9	negros	NC	3	chicos
8	8	0.02081107906997204	20373	2	9	negros	NC	2	muchachos
9	9	0.013213170692324638	679	2	9	negros	NC	1	años
0	0	0.2665916085243225	10423	3	9	negros	AQ	10	negros
1	1	0.0568411760032177	1568	3	9	negros	NC	9	mujeres
2	2	0.05678915977478027	37722	3	9	negros	AQ	8	racistas
3	3	0.02331189438700676	19375	3	9	negros	AQ	7	latinos
4	4	0.022754117846488953	10571	3	9	negros	NC	6	inmigrantes
5	5	0.021232280880212784	28684	3	9	negros	AQ	5	feministas
6	6	0.020311733707785606	10805	3	9	negros	AQ	4	blancos
7	7	0.016484402120113373	24062	3	9	negros	NC	3	racismo
8	8	0.01591995172202587	3641	3	9	negros	AQ	2	negro
9	9	0.015853168442845345	12695	3	9	negros	AQ	1	negras
0	0	0.3944692015647888	10423	4	9	negros	AQ	10	negros
1	1	0.04714179411530495	1568	4	9	negros	NC	9	mujeres
2	2	0.03028634935617447	8111	4	9	negros	AQ	8	pobres
3	3	0.028409041464328766	10805	4	9	negros	AQ	7	blancos
4	4	0.02149367518723011	37722	4	9	negros	AQ	6	racistas
5	5	0.018387669697403908	12695	4	9	negros	AQ	5	negras
6	6	0.012953045777976513	28684	4	9	negros	AQ	4	feministas
7	7	0.010107033886015415	19375	4	9	negros	AQ	3	latinos
8	8	0.008375046774744987	29334	4	9	negros	NC	2	minorías
9	9	0.008250962011516094	18453	4	9	negros	AQ	1	lesbianas
0	0	0.08914447575807571	10423	5	9	negros	AQ	10	negros
1	1	0.03242398053407669	31839	5	9	negros	AQ	9	asiáticos
2	2	0.02831723913550377	1568	5	9	negros	NC	8	mujeres
3	3	0.015703244134783745	26691	5	9	negros	AQ	7	raros
4	4	0.013139434158802032	14886	5	9	negros	AQ	6	chinos
5	5	0.009344670921564102	10805	5	9	negros	AQ	5	blancos
6	6	0.009217816404998302	893	5	9	negros	NC	4	personas
7	7	0.008953789249062538	1460	5	9	negros	AQ	3	diferentes
8	8	0.008428329601883888	8901	5	9	negros	NC	2	turistas
9	9	0.00753749581053853	37722	5	9	negros	AQ	1	racistas
0	0	0.6900802850723267	10423	6	9	negros	NC	10	negros
1	1	0.028102949261665344	1568	6	9	negros	NC	9	mujeres
2	2	0.0192622821778059	10805	6	9	negros	AQ	8	blancos
3	3	0.014327446930110455	12695	6	9	negros	AQ	7	negras
4	4	0.013420669361948967	3641	6	9	negros	AQ	6	negro
5	5	0.008575803600251675	37722	6	9	negros	AQ	5	racistas
6	6	0.00806889496743679	19375	6	9	negros	AQ	4	latinos
7	7	0.006394639611244202	8111	6	9	negros	AQ	3	pobres
8	8	0.003502880921587348	1460	6	9	negros	AQ	2	diferentes
9	9	0.0032505688723176718	2323	6	9	negros	NC	1	hombres
0	0	0.13862505555152893	2792	7	9	negros	AQ	10	jóvenes
1	1	0.12044619768857956	1605	7	9	negros	AQ	9	grandes
2	2	0.04214223474264145	6571	7	9	negros	AQ	8	populares
3	3	0.019492028281092644	6001	7	9	negros	AQ	7	fuertes
