	index	score	token	sentence	model	dimension	pos_tag	rsv	word
0	0	0.08008719235658646	10423	0	12	negros	NC	10	negros
1	1	0.04121575877070427	2323	0	12	negros	NC	9	hombres
2	2	0.03944773226976395	1568	0	12	negros	NC	8	mujeres
3	3	0.019536053761839867	726	0	12	negros	PI	7	todos
4	4	0.014781322330236435	1662	0	12	negros	NC	6	niños
5	5	0.012289677746593952	10805	0	12	negros	AQ	5	blancos
6	6	0.011856833472847939	8111	0	12	negros	AQ	4	pobres
7	7	0.011493813246488571	32004	0	12	negros	AQ	3	ciegos
8	8	0.009658217430114746	1605	0	12	negros	AQ	2	grandes
9	9	0.007825629785656929	893	0	12	negros	NC	1	personas
0	0	0.022159963846206665	10805	1	12	negros	AQ	10	blancos
1	1	0.02081311121582985	726	1	12	negros	PI	9	todos
2	2	0.020716454833745956	10423	1	12	negros	AQ	8	negros
3	3	0.019286761060357094	1605	1	12	negros	AQ	7	grandes
4	4	0.018980108201503754	14994	1	12	negros	AQ	6	hermosos
5	5	0.015929730609059334	1662	1	12	negros	NC	5	niños
6	6	0.015077664516866207	8111	1	12	negros	AQ	4	pobres
7	7	0.013601984828710556	21996	1	12	negros	NC	3	jovenes
8	8	0.013133864849805832	5839	1	12	negros	AQ	2	chicos
9	9	0.012300094589591026	1568	1	12	negros	NC	1	mujeres
0	0	0.11787904053926468	2578	2	12	negros	AQ	10	profesionales
1	1	0.037077926099300385	4174	2	12	negros	AQ	9	buenos
2	2	0.02992362342774868	10785	2	12	negros	AQ	8	simples
3	3	0.025780847296118736	3657	2	12	negros	PI	7	pocos
4	4	0.025372536852955818	4658	2	12	negros	NC	6	vecinos
5	5	0.0227731391787529	2342	2	12	negros	NC	5	amigos
6	6	0.021412571892142296	18	2	12	negros	Fp	4	.
7	7	0.018298940733075142	3994	2	12	negros	NC	3	animales
8	8	0.015128226019442081	32087	2	12	negros	NC	2	chavales
9	9	0.014700513333082199	5839	2	12	negros	NC	1	chicos
0	0	0.054338883608579636	8111	3	12	negros	AQ	10	pobres
1	1	0.026741625741124153	14994	3	12	negros	AQ	9	hermosos
2	2	0.023402756080031395	4174	3	12	negros	AQ	8	buenos
3	3	0.01990569196641445	45247	3	12	negros	AQ	7	educados
4	4	0.019420264288783073	1605	3	12	negros	AQ	6	grandes
5	5	0.01891716942191124	49143	3	12	negros	AQ	5	simpáticos
6	6	0.017659230157732964	2792	3	12	negros	AQ	4	jóvenes
7	7	0.017249858006834984	22049	3	12	negros	AQ	3	amables
8	8	0.015175026841461658	1233	3	12	negros	DI	2	unos
9	9	0.014874434098601341	10785	3	12	negros	AQ	1	simples
0	0	0.10153155773878098	8111	4	12	negros	AQ	10	pobres
1	1	0.023170175030827522	1605	4	12	negros	AQ	9	grandes
2	2	0.017260635271668434	28058	4	12	negros	AQ	8	humildes
3	3	0.015701934695243835	893	4	12	negros	NC	7	personas
4	4	0.01562756672501564	5839	4	12	negros	AQ	6	chicos
5	5	0.015336020849645138	3657	4	12	negros	PI	5	pocos
6	6	0.014574525877833366	726	4	12	negros	PI	4	todos
7	7	0.014242597855627537	1662	4	12	negros	NC	3	niños
8	8	0.013787559233605862	1233	4	12	negros	PI	2	unos
9	9	0.012478064745664597	3280	4	12	negros	AQ	1	estudiantes
0	0	0.0563444085419178	1233	5	12	negros	DI	10	unos
1	1	0.03946850821375847	8111	5	12	negros	AQ	9	pobres
